Produksi Hasil Tangkap Laut,Manyung
1/1/2017,8.42
2/1/2017,8.43
3/1/2017,8.59
4/1/2017,8.48
5/1/2017,8.56
6/1/2017,8.52
7/1/2017,9.44
8/1/2017,9.95
9/1/2017,10.11
10/1/2017,10.27
11/1/2017,10.59
12/1/2017,11.42
1/1/2018,10.3
2/1/2018,11
3/1/2018,12.5
4/1/2018,12.6
5/1/2018,14
6/1/2018,14.9
7/1/2018,16.5
8/1/2018,17
9/1/2018,18.4
10/1/2018,15.9
11/1/2018,18.2
12/1/2018,17.6
1/1/2019,20.5
2/1/2019,21.1
3/1/2019,20
4/1/2019,20.3
5/1/2019,20.2
6/1/2019,19.5
7/1/2019,19.4
8/1/2019,18.55
9/1/2019,19
10/1/2019,19.2
11/1/2019,20.3
12/1/2019,21.4
1/1/2020,21.01
2/1/2020,22.4
3/1/2020,22.1
4/1/2020,22.3
5/1/2020,23.2
6/1/2020,20.5
7/1/2020,22.4
8/1/2020,22.27
9/1/2020,23
10/1/2020,24.2
11/1/2020,24.3
12/1/2020,24.4
