Produksi Hasil Tangkap Laut,Udang
1/1/2017,1.12
2/1/2017,1.18
3/1/2017,1.32
4/1/2017,1.29
5/1/2017,1.21
6/1/2017,1.35
7/1/2017,1.48
8/1/2017,1.48
9/1/2017,1.36
10/1/2017,1.19
11/1/2017,1.04
12/1/2017,1.18
1/1/2018,1.15
2/1/2018,1.26
3/1/2018,1.41
4/1/2018,1.35
5/1/2018,1.25
6/1/2018,1.49
7/1/2018,1.7
8/1/2018,1.7
9/1/2018,1.58
10/1/2018,1.33
11/1/2018,1.14
12/1/2018,1.4
1/1/2019,1.45
2/1/2019,1.5
3/1/2019,1.78
4/1/2019,1.63
5/1/2019,1.72
6/1/2019,1.78
7/1/2019,1.99
8/1/2019,1.99
9/1/2019,1.84
10/1/2019,1.62
11/1/2019,1.46
12/1/2019,1.66
1/1/2020,1.71
2/1/2020,1.8
3/1/2020,1.93
4/1/2020,1.81
5/1/2020,1.83
6/1/2020,2.18
7/1/2020,2.3
8/1/2020,2.42
9/1/2020,2.09
10/1/2020,1.91
11/1/2020,1.72
12/1/2020,1.94
