Gambar,Nama,Link,Harga,Penjual,Lokasi,Rating,Terjual,Deskripsi
https://cf.shopee.co.id/file/8bdaa538d862f5e723db4884acb5410b_tn,IKAN KEMBUNG BANJAR - KEMBUNG GEPENG SEGAR 1KG (SIP),https://shopee.co.id/IKAN-KEMBUNG-BANJAR-KEMBUNG-GEPENG-SEGAR-1KG-(SIP)-i.418057929.8338274363?sp_atk=cc410bec-8ccc-4a04-9735-53fd3b22db1a,22.9,serba.ikan.pamulang,KOTA TANGERANG SELATAN,5,37,"1] Harga tertera untuk berat 1kg
2] 1kg Banjar isi 7-12 ekor
3] 1kg gepeng harga di playlist isi 9-12 ekor
4] 1kg gepeng harga di plasylist isi 15-20 ekor
5] Gambar Ikan adalah foto asli
6] Ikan segar dan berkualitas
7] Dikemas secara higienis
8] Packing aman dan rapi 

Jadwal Pengiriman ikan
* Jasa Pengiriman via GRAB / GOJEK
Same Day : 6-8 jam (datang tidak menentu - sampai tidak menentu)
Instant : 2-3 jam (datang langsung - langsung diantar)

gunakan lah jasa pengiriman yg sesuai dengan tempat anda.
kami tidak menanggung kerusakan barang selain pengiriman di atas

* Pesanan yg Masuk di jam 6 Pagi - 2 siang (bisa menggunakan pengiriman GRAB/GOJEK SAMEDAY)
* Pesanan yg Masuk di jam 3 sore - 9 malam (bisa menggunakan pengiriman GRAB/GOJEK INSTANT)


MELAYANI PEMBELIAN PARTAI BESAR (CATHERING, HAJATAN & RUMAH MAKAN)"
https://cf.shopee.co.id/file/7b7deeb0f6d3afe284a0c772e818bac5_tn,IKAN BAWAL LAUT SEGAR,https://shopee.co.id/IKAN-BAWAL-LAUT-SEGAR-i.407796683.6184547091?sp_atk=c346841f-4dc9-4459-b542-0ca6781fcc59,35,serbaikanfresh,KOTA TANGERANG SELATAN,5,5,"WAJIB BACA SUPAYA JUAL BELI LEBIH SAH DAN TIDAK ADA SALAH FAHAM
=========================================
1] - Netto : -+ 1,2 kg harga 55.000/kg Bawal Hitam
    - Netto : -+ 1kg harga 36.900/kg Bawal Jenggot
    - Rata rata berat ikan 6-7 ons jd tidak ada yg pas 1kg
2] Isi 2 ekor 
3] Gambar Ikan adalah foto asli
4] Ikan segar dan berkualitas
5] Dikemas secara higienis
6] Packing aman dan rapi 

Jadwal Pengiriman ikan
* Jasa Pengiriman via GRAB / GOJEK
Same Day : 6-8 jam (datang tidak menentu - sampai tidak menentu)
Instant : 2-3 jam (datang langsung - langsung diantar)

gunakan lah jasa pengiriman yg sesuai dengan tempat anda.
kami tidak menanggung kerusakan barang selain pengiriman di atas

* Pesanan yg Masuk di jam 6 Pagi - 2 siang (bisa menggunakan pengiriman GRAB/GOJEK SAMEDAY)
* Pesanan yg Masuk di jam 3 sore - 9 malam (bisa menggunakan pengiriman GRAB/GOJEK INSTANT)


MELAYANI PEMBELIAN PARTAI BESAR (CATHERING, HAJATAN & RUMAH MAKAN)"
https://cf.shopee.co.id/file/5f9579e4d30a95b1c447e6053e7b72d1_tn,Ikan Dori Fillet Lokal / Ikan Dori Restoran / Fish n Chips @1 Kg,https://shopee.co.id/Ikan-Dori-Fillet-Lokal-Ikan-Dori-Restoran-Fish-n-Chips-1-Kg-i.315879138.3955050147?sp_atk=4c8d52eb-18a3-4f0c-b23a-426e26ea9eea,38.5,dapurlaut,KOTA JAKARTA SELATAN,5,53,"Dory merupakan salah satu jenis ikan yang banyak diminati karena teksturnya yang lembut, halus dan juga mempunyai rasa gurih . Ikan yang populer dalam bentuk masakan fish and chips ini memiliki kandungan omega-3, DHA, dan EPA yang dapat menurunkan tekanan darah tinggi serta menjaga kesehatan mata, jantung, otot, dan pencernaan.

- Kemasan1 kg = 3-5 pcs (Tidak bisa Request)
- Minimum Pemesanan 2 Kg
- Harga Grosir 36 rb per 20 pack/Kg
- Export Quality
- HALAL 100000%
- Glazing 30-40% untuk mempertahankan tekstur daging
- Daging Putih Lembut
- Fish n Chips cocok seperti ngikanyuk
- Terjamin enak dan TIDAK BAU AMIS
- Harga sangat terjangkau dengan SUPER/PREMIUM Quality


- Frozen food adalah produk yang cepat busuk & rusak, apabila tidak disimpan dengan baik dalam keadaan beku.
- Harap segera simpan di dalam freezer dengan suhu -17'C, ketika barang diterima jika tidak segera digunakan.


Pengiriman JaDeTaBek Instant & Sameday :
1. Pengiriman dimulai pukul 09.30 WIB
2. Senin-Jumat close order pukul 14.00 WIB, order di atas pukul 14.00 WIB akan diproses dan dikirim besoknya.
3. Sabtu close order pukul 12.00 WIB, order di atas pukul 12.00 WIB akan diproses dan dikirim hari Senin.
Pengiriman ke Depok/Tangerang/Bekasi disarankan menggunakan GoJek/Grab INSTANT
4. Minggu toko hanya menerima order untuk dikirim Senin"
https://cf.shopee.co.id/file/c186780ab2b2e00fdb55c5512a30249a_tn,IKAN TONGKOL CAKALANG SEGAR (SIP),https://shopee.co.id/IKAN-TONGKOL-CAKALANG-SEGAR-(SIP)-i.418057929.8537575881?sp_atk=993d836c-f945-4785-ad97-b83c93827d6b,28.999,serba.ikan.pamulang,KOTA TANGERANG SELATAN,5,76,"1] Netto : 1 kg utuh
    Netto : 500gr Villet
2] Harga utuh : 26.900
    Harga Villet : 25.600
3] Jenis Ikan : Tongkol Cakalang Fresh
4] 1 kg isi 2-4 ekor
5] Pemesanan mulai dari jam 00:08 s/d 15:00 wib
6] Jasa pengiriman hanya menggunakan grab/gojek someday dan ojol instan untuk menjaga kwalitas ikan
7] Bisa pesan partai kecil sampai partai besar, hajatan, catering dannlainya
8] Ikan kami ambil langsung dari pusat "" Muara Baru ""
9] untuk kwalitas ikan kami pilih no satu"
https://cf.shopee.co.id/file/3ffa05d8be187c069d137fe5b34e7f51_tn,Ikan Belanak Segar 1kg,https://shopee.co.id/Ikan-Belanak-Segar-1kg-i.286855158.11661794212?sp_atk=8bc06c5b-7b39-42c4-b22a-275ed9b9a0ab,45,seafood_wike,KOTA JAKARTA UTARA,5,1,"ikannya Masih segar dan sangat baik untuk dikonsumsi se hati2
Tanpa bahan pengawet"
https://cf.shopee.co.id/file/68aec7c6f152e7b847a26c5c95462112_tn,IKAN GEMBUNG BANJAR BEKU FRESH - 500gram,https://shopee.co.id/IKAN-GEMBUNG-BANJAR-BEKU-FRESH-500gram-i.63833554.4749612031?sp_atk=cb622f44-b51b-4043-a7a8-1dfd92e8ca63,25,inaranahl,KOTA JAKARTA BARAT,5,61,"Selamat datang di toko kami 🥰

*BARANG READY STOCK LANGSUNG DARI MUARA ANGKE*

OPEN ORDER SENIN-MINGGU.
*Barang dikirim H + 1 start jam 10.00 pagi(gosent sameday/instant) 
*Maximal pemesanan sampai jam 7.00 pagi diproses hari yang sama.
*Pesanan yang masuk HARI INI DIATAS JAM 8.00 SIANG akan dikirim besok pagi.

-Pengiriman menggunakan Grab/go instant lebih disarankan karena durasi yg cepat dan kualitas barang tetap terjaga.
-Happy Shopping-"
https://cf.shopee.co.id/file/886e2cd74b5ba50f13e6becf66353836_tn,IKAN GEMBUNG 500GRAM,https://shopee.co.id/IKAN-GEMBUNG-500GRAM-i.56381204.6232311896?sp_atk=8ecb62ce-5529-45b6-a943-d6feadfa70df,24.5,cherilstore,KOTA SURABAYA,5,55,"IKAN GEMBUNG

SEGAR .. FRESH...

ORDERAN SAYUR, DAGING AYAM, IKAN DISARANKAN ORDER JAM 09.00 - 21.00 WIB, DAN PESANAN AKAN DI KIRIM VIA GRAB/ GOJEK KEESOKAN HARINYA (H+1)

ORDERAN BUMBU DAPUR, REMPAH DAN EMPON EMPON BISA DIKIRIM DI HARI H ( ORDER SEBELUM JAM 11.00 WIB )


PACKING RAPI, AMAN MESKIPUN DIKIRIM KELUAR KOTA

UNTUK KOMPLAIN / KELUHAN / STOCK BISA MELALUI CHAT TERLEBIH DAHULU SEBELUM MEMBERIKAN NILAI BINTANG 1 - 3 KEPADA KAMI..
BINTANG 1 - 3 BLOK DAN KOMPLAIN TIDAK AKAN KAMI LAYANI

* FREE GIFT UNTUK ORDER DIATAS RP 300.000

NOTE : 
* UNTUK PRODUK BASAH/ SAYUR DISARANKAN MENGGUNAKAN GRAB/ GOJEK UNTUK DALAM KOTA ( ORDER PAGI DI SARANKAN MENGGUNAKAN GOJEK INSTAN )
* RESIKO BARANG LAYU, ATAU ADA BUSUK DILUAR TANGGUNG JAWAB KAMI UNTUK LUAR KOTA
* MEMBELI BERARTI MENYETUJUI ATURAN KAMI, JIKA STOCK KOSONG, DANA AKAN DIKEMBALIKAN ATAU DIKIRIM DI HARI SELANJUTNYA




#IKANSEGAR #IKANGEMBUNG"
https://cf.shopee.co.id/file/a783dd822311012ef88f5c8f834b9448_tn,Ikan Nila Merah Segar Fresh 500gr,https://shopee.co.id/Ikan-Nila-Merah-Segar-Fresh-500gr-i.225931637.6517886454?sp_atk=7aa445eb-e810-4064-8df4-180f59812b1d,21,abangsayur.id,KOTA DEPOK,5,89,"Ikan Nila Merah Segar
Berat : 500 gram
Isi : 2 ekor

Pembelian lebih dari 1 item produk dan kuantiti yg sama, akan digabung menjadi 1 kantong (tolong tulis di note jika tidak ingin digabung)

Info Pengiriman :
- Orderan sebelum pukul 21.00 atau 00.00-21.00 dikirim besok pagi (H+1 setelah order)
- Orderan setelah pukul 21.00 atau 21.01-23.59 dikirim lusa pagi (H+2 setelah order)

Waktu Pengiriman : 
- Pengiriman dilakukan setiap hari (Minggu tetap ada pengiriman)
- Atur pengiriman pesananan start pukul 09.00, dikirim sesuai antrian order

PENTING : Pengiriman produk fresh wajib menggunakan jasa kurir Gojek / Grab / Shopee Instant atau Sameday, di luar jasa pengiriman tersebut segala kerusakan/kebusukuan produk bukan tanggung jawab penjual."
https://cf.shopee.co.id/file/fc825e1ff67ec090705e41000dcb2cc9_tn,Ikan kembung Banjar Fresh,https://shopee.co.id/Ikan-kembung-Banjar-Fresh-i.8418220.6824238125?sp_atk=c78eb4f4-f062-402a-b0b5-e5326e5c29c1,30,hy.shop,KOTA JAKARTA UTARA,5,51,"Ikan Kembung Banjar Fresh
1kg isi ada 5-7ekor

Dijamin Fresh karena diambil langsung dari nelayan Cilincing
tanpa bahan pengawet
Segar terjamin kualitasnya

Bisa dikirim dihari yang sama ya
Bisa minta dikupas udangnya
Bisa dibelah bakar, fillet, bersihkan kotoran, dan potong ikan."
https://cf.shopee.co.id/file/cbc0944c90801ab314aa2b078eb67594_tn,Seafood Ikan Segar Gurame Segar Fresh 700 gram 1 Ekor Lauk Makan Mentah Pasar Lampung,https://shopee.co.id/Seafood-Ikan-Segar-Gurame-Segar-Fresh-700-gram-1-Ekor-Lauk-Makan-Mentah-Pasar-Lampung-i.412021278.9974106651?sp_atk=5d2cf70a-faa4-4f47-af1c-6db875c8eca8,29.4,seenamart,KOTA BANDAR LAMPUNG,5,7,"Ikan Gurame Segar Fresh Ikan Segar

Selamat datang di Seena Mart
kami menjual berbagai macam sayuran dan kebutuhan dapur. barang yang kami kirim DIJAMIN SELALU FRESH dan dikemas dengan packing yang rapih dan aman.💛

Harga diatas adalah harga per ekor untuk pilihan  berat :
400 - 600 gram
700 - 1000 gram

SPESIFIKASI PRODUK :
- Berat ikan -/+ sesuai dengan variasi
- ikan dikirim dalam keadaan bersih 
- dikemas menggunakan kemsan yg bersih dan rapih

Budayakan membaca sebelum order❕❕
Info pengiriman
🌸Pemesanan sebelum pukul 21.00 akan dikirim H+1 (esok hari)
🌸Pemesanan setelah pukul 21.00 dikirim H+2

📣MEMBELI = SETUJU📣
apabila ada pertanyaan silahkan chat

Terimakasih💛💛

Happy Shopping 🙏"
